skill_id	skill_level	oper_type	mp_consume	cast_range	cast_style	hit_time	is_magic	ani_char	desc	icon_name	icon_name2	is_ench	ench_skill_id	hp_consume	UNK_0	UNK_1	UNK_2
3	1	0	10	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	0	9	11
3	2	0	10	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	0	9	11
3	3	0	11	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	0	9	11
3	4	0	13	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	0	9	11
3	5	0	13	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	0	9	11
3	6	0	14	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	0	9	11
3	7	0	17	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	0	9	11
3	8	0	18	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	0	9	11
3	9	0	19	40	3	1.08000004	0	S	3	icon.skill0003		0	0	0	0	9	11
4	1	1	10	-1	1	1.00000000	0	X	4	icon.skill0004		0	0	0	0	8	10
4	2	1	21	-1	1	1.00000000	0	X	4	icon.skill0004		0	0	0	0	8	10
16	1	0	9	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	2	0	9	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	3	0	10	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	4	0	11	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	5	0	12	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	6	0	13	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	7	0	16	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	8	0	16	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	9	0	17	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	10	0	19	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	11	0	20	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	12	0	20	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	13	0	21	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	14	0	22	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	15	0	23	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	16	0	25	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	17	0	26	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	18	0	27	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	19	0	28	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	20	0	28	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	21	0	29	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	22	0	32	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	23	0	33	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
16	24	0	34	40	3	1.08000004	0	t	16	icon.skill0016		0	0	0	0	9	11
21	1	0	20	-1	1	4.00000000	1	D	1012	icon.skill0021		0	0	0	0	8	10
21	2	0	35	-1	1	4.00000000	1	D	1012	icon.skill0021		0	0	0	0	8	10
21	3	0	55	-1	1	4.00000000	1	D	1012	icon.skill0021		0	0	0	0	8	10
28	1	0	20	400	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	2	0	21	400	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	3	0	22	400	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	4	0	23	400	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	5	0	24	400	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	6	0	25	400	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	7	0	26	400	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	8	0	27	400	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	9	0	28	400	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	10	0	29	400	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	11	0	30	400	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	12	0	31	400	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	13	0	33	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	14	0	34	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	15	0	35	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	16	0	36	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	17	0	37	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	18	0	38	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	19	0	39	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	20	0	40	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	21	0	41	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	22	0	42	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	23	0	43	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	24	0	44	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	25	0	45	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	26	0	46	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	27	0	47	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	28	0	48	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	29	0	49	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	30	0	50	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	31	0	51	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	32	0	52	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	33	0	53	600	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	34	0	54	800	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	35	0	55	800	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	36	0	57	800	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	37	0	58	800	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	38	0	58	800	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	39	0	59	800	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	40	0	60	800	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	41	0	61	800	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
28	42	0	62	800	1	0.69999999	0	L	28	icon.skill0028		0	0	0	0	9	-1
